篇,序號,中文字,中文字部首,影片網址
8,1336,騁,187,https://www.youtube.com/watch?v=2S2AX0dGUrA
8,1335,辯,160,https://www.youtube.com/watch?v=zlX7OMT1T-c
8,1334,雄,172,https://www.youtube.com/watch?v=16Zm6_74_Qk
8,1333,孟,39,https://www.youtube.com/watch?v=pEIJdraFQvc
8,1332,鄒,163,https://www.youtube.com/watch?v=qzxfb94lkt8
8,1331,庸,53,https://www.youtube.com/watch?v=otv0Z8kQtDY
8,1330,勿,20,https://www.youtube.com/watch?v=raB1Q7xRyQw
8,1329,躬,158,https://www.youtube.com/watch?v=dA7Eb-fBNaI
8,1328,顏,181,https://www.youtube.com/watch?v=tdvo41ZFig8
8,1327,韻,180,https://www.youtube.com/watch?v=KQ3IqWGNmSs
8,1326,弦,57,https://www.youtube.com/watch?v=UmKBaOR0h4o
8,1325,匣,22,https://www.youtube.com/watch?v=7Dm8pqa_qOA
8,1324,琴,96,https://www.youtube.com/watch?v=j1ruamPRZu0
8,1323,瑤,96,https://www.youtube.com/watch?v=bwHEqAiAQnk
8,1322,多,36,https://www.youtube.com/watch?v=1QNgZA6edcs
8,1321,魚,195,https://www.youtube.com/watch?v=wM1i80Cr8CY
8,1320,矧,111,https://www.youtube.com/watch?v=jC_5t60LBqk
8,1319,樂,75,https://www.youtube.com/watch?v=I9y4TUuSrsI
8,1318,訛,149,https://www.youtube.com/watch?v=uXgIVzoaZ3E
8,1317,簡,118,https://www.youtube.com/watch?v=CcHj-t9ME5E
8,1316,敦,66,https://www.youtube.com/watch?v=5OtPW_v_nwA
8,1315,彌,57,https://www.youtube.com/watch?v=7jFzsjnwCTA
8,1314,守,40,https://www.youtube.com/watch?v=hZ-wRjmf65M
8,1313,勤,19,https://www.youtube.com/watch?v=P3DCnglG854
8,1312,門,169,https://www.youtube.com/watch?v=yTj1sGUUVPU
8,1311,頹,181,https://www.youtube.com/watch?v=wC8A9VIc7Gk
8,1310,儀,9,https://www.youtube.com/watch?v=rUYu3CG0J8o
8,1309,察,40,https://www.youtube.com/watch?v=TkgeK7nNDmY
8,1308,協,24,https://www.youtube.com/watch?v=7NjxzOsHAU8
8,1307,布,50,https://www.youtube.com/watch?v=-mX4Y2jMjLw
8,1306,坤,32,https://www.youtube.com/watch?v=bnabg-7FV6U
8,1305,闢,169,https://www.youtube.com/watch?v=HfzDDnD-B6c
8,1304,爰,87,https://www.youtube.com/watch?v=PygxRXIjx0w
8,1303,氏,83,https://www.youtube.com/watch?v=r5gyBgTV5O8
8,1302,庖,53,https://www.youtube.com/watch?v=ALMIKKtYpao
8,1301,軌,159,https://www.youtube.com/watch?v=z4mWedloqSc
8,1300,刪,18,https://www.youtube.com/watch?v=T1psEddE6b8
8,1299,烈,86,https://www.youtube.com/watch?v=cybNUVfTo9Q
8,1298,武,77,https://www.youtube.com/watch?v=4k7jmrheEBw
8,1297,猗,94,https://www.youtube.com/watch?v=f_ABff1gSe4
8,1296,哉,30,https://www.youtube.com/watch?v=VjCWS3FH5k4
8,1295,己,49,https://www.youtube.com/watch?v=fyICUi_d4TM
8,1294,恭,61,https://www.youtube.com/watch?v=EJY6V77VIXc
8,1293,欽,76,https://www.youtube.com/watch?v=yBDCo4gAecs
8,1292,勛,19,https://www.youtube.com/watch?v=goGMhgbV92s
8,1291,邊,162,https://www.youtube.com/watch?v=JXpEtskSxzY
8,1290,照,86,https://www.youtube.com/watch?v=YBQbMwkgpzQ
8,1289,煌,86,https://www.youtube.com/watch?v=djI1B3Zf6V0
8,1288,軸,159,https://www.youtube.com/watch?v=HX6DM-x1cK0
8,1287,北,21,https://www.youtube.com/watch?v=b8OAvmhoVyk
8,1286,柄,75,https://www.youtube.com/watch?v=itED_zHGZZA
8,1285,斗,68,https://www.youtube.com/watch?v=cqMcHLB1Tws
8,1284,斜,68,https://www.youtube.com/watch?v=lrWpY6tptM4
8,1283,河,85,https://www.youtube.com/watch?v=mgwWtes1TWo
8,1282,爛,86,https://www.youtube.com/watch?v=mcMzck6Cd0U
8,1281,嶺,46,https://www.youtube.com/watch?v=OTx43COwOgQ
8,1280,隊,170,https://www.youtube.com/watch?v=yB-sTjzHdz4
8,1279,牽,93,https://www.youtube.com/watch?v=n5oNme6g_sM
8,1278,柔,75,https://www.youtube.com/watch?v=EeBfZE2qw3o
8,1277,旅,70,https://www.youtube.com/watch?v=foL20eaACAA
8,1276,事,6,https://www.youtube.com/watch?v=P3q58zYqkLk
8,1275,掩,64,https://www.youtube.com/watch?v=doxLxlhrIXg
8,1274,綿,120,https://www.youtube.com/watch?v=qDxqC0nkyfM
8,1273,善,30,https://www.youtube.com/watch?v=6i_SHIZ5CLw
8,1272,昏,72,https://www.youtube.com/watch?v=IWg5fV5dwxk
8,1271,謹,149,https://www.youtube.com/watch?v=n79a_J5-PBk
8,1270,昧,72,https://www.youtube.com/watch?v=HS-LqoYB2dA
8,1269,泉,85,https://www.youtube.com/watch?v=TNlqt1rUdn4
8,1268,威,38,https://www.youtube.com/watch?v=Zvl7eLQptVc
8,1267,宇,40,https://www.youtube.com/watch?v=1RQPGmCKd58
8,1266,朱,75,https://www.youtube.com/watch?v=lmAQF_uRsJE
8,1265,蒙,140,https://www.youtube.com/watch?v=vt2ifOp72BU
8,1264,川,47,https://www.youtube.com/watch?v=BK6rcbZEOQY
8,1263,伊,9,https://www.youtube.com/watch?v=iDQLZNNCMM4
8,1262,太,37,https://www.youtube.com/watch?v=UzxuI_JTLjc
8,1261,范,140,https://www.youtube.com/watch?v=QhoJodIETGU
8,1260,侃,9,https://www.youtube.com/watch?v=FdIftf2mT5w
